"id";"name";"full_name";"number";"party";"federation";"occupation";"status";"status_checked_at";"tse_url"
"210002537541";"Jane Longaray Bitencourt";"Jane Longaray Bitencourt";"40199";"PSB";"";"Aposentado (Exceto Servidor Público)";"Deferido";"2026-09-21T17:06:21.887549+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002537541"
"210002537547";"Janine Soares";"Janine Borges Soares";"40777";"PSB";"";"Membro do Ministério Público";"Deferido";"2026-09-21T17:06:20.707007+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002537547"
"210002537527";"Jaque Silveira";"Jaqueline Pereira Silveira Cibelli de Castro";"40401";"PSB";"";"Empresário";"Deferido";"2026-09-21T17:06:15.862007+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002537527"
"210002537543";"Jéslei Sallines";"Jeslei Salines de Souza";"40222";"PSB";"";"Vereador";"Deferido";"2026-09-21T17:06:16.862465+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002537543"
"210002537545";"João Pedro Grill";"João Pedro Roveré Grill";"40000";"PSB";"";"Comerciante";"Deferido";"2026-09-21T17:06:21.807153+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002537545"
"210002537531";"Ladislê Teixeira";"Ladisle Camargo Teixeira";"40444";"PSB";"";"Industrial";"Deferido";"2026-09-21T17:06:14.830221+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002537531"
"210002537542";"Leandro Liban";"Leandro dos Santos";"40707";"PSB";"";"Outros";"Deferido";"2026-09-21T17:06:19.084351+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002537542"
"210002537535";"Lenara Machado";"Vanda Lenara Souza Machado";"40540";"PSB";"";"Outros";"Deferido";"2026-09-21T17:06:22.032682+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002537535"
"210002537525";"Léo Krause";"Leonilda Krause";"40999";"PSB";"";"Advogado";"Deferido";"2026-09-21T17:06:22.775050+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002537525"
"210002537540";"Marisa Silva";"Marisa da Silva Santos";"40050";"PSB";"";"Empresário";"Deferido";"2026-09-21T17:06:19.324819+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002537540"
"210002537538";"Paulo de Tarso";"Paulo de Tarso Gaspar Pinheiro Machado";"40040";"PSB";"";"Economista";"Deferido";"2026-09-21T17:06:14.830538+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002537538"
"210002537532";"Professor Adilson Kuhn";"Adilson Kuhn";"40555";"PSB";"";"Professor de Ensino Médio";"Deferido";"2026-09-21T17:06:22.044723+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002537532"
"210002537546";"Raquel Alves";"Raquel Alves dos Santos";"40770";"PSB";"";"Professor de Ensino Fundamental";"Deferido";"2026-09-21T17:06:22.734228+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002537546"
"210002537536";"Renan da Silva";"Renan da Silva";"40042";"PSB";"";"Comerciante";"Deferido";"2026-09-21T17:06:19.266006+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002537536"
"210002537533";"Vinicius Bondan";"Vinicius Klein Bondan";"40004";"PSB";"";"Advogado";"Deferido";"2026-09-21T17:06:14.830880+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002537533"
"210002537528";"Wagner Petrini";"Wagner Petrini";"40240";"PSB";"";"Outros";"Deferido";"2026-09-21T17:06:17.777115+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002537528"
"210002533942";"Abrão Godois";"Abrão Fernandes Godois";"50023";"PSOL";"FEDERAÇÃO PSOL REDE";"Aposentado (Exceto Servidor Público)";"Deferido";"2026-09-21T17:06:20.673833+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002533942"
"210002533946";"Adriano Ricoldi";"Adriano Tadeu Hartmann Ricoldi";"50550";"PSOL";"FEDERAÇÃO PSOL REDE";"Padeiro, Confeiteiro e Assemelhados";"Deferido";"2026-09-21T17:06:16.605272+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002533946"
"210002533940";"Alice Carvalho";"Alice Carvalho da Silva dos Santos";"50777";"PSOL";"FEDERAÇÃO PSOL REDE";"Vereador";"Deferido";"2026-09-21T17:06:20.681667+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002533940"
"210002533939";"Djalma Dutra";"Djalma Dutra Neto";"50007";"PSOL";"FEDERAÇÃO PSOL REDE";"Mecânico de Manutenção";"Deferido";"2026-09-21T17:06:19.043049+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002533939"
"210002533941";"Fabiano Benites";"Fabiano Benites";"50111";"PSOL";"FEDERAÇÃO PSOL REDE";"Advogado";"Deferido";"2026-09-21T17:06:21.658034+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002533941"
"210002533935";"Faby Gomes";"Fabiane Gomes";"50570";"PSOL";"FEDERAÇÃO PSOL REDE";"Comerciante";"Deferido";"2026-09-21T17:06:22.560544+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002533935"
"210002533930";"Fernanda Miranda";"Fernanda Pinto Miranda";"50999";"PSOL";"FEDERAÇÃO PSOL REDE";"Vereador";"Deferido";"2026-09-21T17:06:23.632121+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002533930"
"210002533926";"Gabi Rosa";"Gabriella Carvalho da Rosa";"50200";"PSOL";"FEDERAÇÃO PSOL REDE";"Outros";"Deferido";"2026-09-21T17:06:21.589440+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002533926"
"210002533938";"Guilherme Gil";"Guilherme Gil da Silva";"50950";"PSOL";"FEDERAÇÃO PSOL REDE";"Professor de Ensino Médio";"Deferido";"2026-09-21T17:06:16.614850+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002533938"
"210002533944";"Inácio Rodrigues";"Inacio Matos Rodrigues";"50222";"PSOL";"FEDERAÇÃO PSOL REDE";"Empresário";"Deferido";"2026-09-21T17:06:17.642178+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002533944"
"210002533945";"Iverá";"Ivera Regina Soares da Silva";"50888";"PSOL";"FEDERAÇÃO PSOL REDE";"Aposentado (Exceto Servidor Público)";"Deferido";"2026-09-21T17:06:23.612993+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002533945"
"210002533931";"Karen Santos";"Karen Morais dos Santos";"50555";"PSOL";"FEDERAÇÃO PSOL REDE";"Vereador";"Deferido";"2026-09-21T17:06:22.599526+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002533931"
"210002533936";"Luciana Genro";"Luciana Krebs Genro";"50000";"PSOL";"FEDERAÇÃO PSOL REDE";"Deputado";"Deferido";"2026-09-21T17:06:17.595802+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002533936"
